"gender","year","municipalities","value"
"Sex - TOTAL","2019","Trebnje",4895
"Sex - TOTAL","2019","Trnovska vas",119
"Sex - TOTAL","2019","Trzin",5860
"Sex - TOTAL","2019","Tržič",3415
"Sex - TOTAL","2019","Turnišče",676
"Sex - TOTAL","2019","Velenje",16401
"Sex - TOTAL","2019","Velika Polana",166
"Sex - TOTAL","2019","Velike Lašče",723
"Sex - TOTAL","2019","Veržej",299
"Sex - TOTAL","2019","Videm",622
"Sex - TOTAL","2019","Vipava",1651
"Sex - TOTAL","2019","Vitanje",345
"Sex - TOTAL","2019","Vodice",1079
"Sex - TOTAL","2019","Vojnik",1986
"Sex - TOTAL","2019","Vransko",621
"Sex - TOTAL","2019","Vrhnika",4581
"Sex - TOTAL","2019","Vuzenica",395
"Sex - TOTAL","2019","Zagorje ob Savi",4201
"Sex - TOTAL","2019","Zavrč",209
"Sex - TOTAL","2019","Zreče",4375
"Sex - TOTAL","2019","Žalec",9140
"Sex - TOTAL","2019","Železniki",2800
"Sex - TOTAL","2019","Žetale",110
"Sex - TOTAL","2019","Žiri",2438
"Sex - TOTAL","2019","Žirovnica",720
"Sex - TOTAL","2019","Žužemberk",964
"Sex - TOTAL","2020","Ajdovščina",7072
"Sex - TOTAL","2020","Ankaran/Ancarano",969
"Sex - TOTAL","2020","Apače",414
"Sex - TOTAL","2020","Beltinci",1201
"Sex - TOTAL","2020","Benedikt",375
"Sex - TOTAL","2020","Bistrica ob Sotli",242
"Sex - TOTAL","2020","Bled",2755
"Sex - TOTAL","2020","Bloke",220
"Sex - TOTAL","2020","Bohinj",1446
"Sex - TOTAL","2020","Borovnica",774
"Sex - TOTAL","2020","Bovec",1211
"Sex - TOTAL","2020","Braslovče",944
"Sex - TOTAL","2020","Brda",850
"Sex - TOTAL","2020","Brezovica",3441
"Sex - TOTAL","2020","Brežice",6731
"Sex - TOTAL","2020","Cankova",232
"Sex - TOTAL","2020","Celje",30238
"Sex - TOTAL","2020","Cerklje na Gorenjskem",3345
"Sex - TOTAL","2020","Cerknica",3638
"Sex - TOTAL","2020","Cerkno",1434
"Sex - TOTAL","2020","Cerkvenjak",345
"Sex - TOTAL","2020","Cirkulane",357
"Sex - TOTAL","2020","Črenšovci",589
"Sex - TOTAL","2020","Črna na Koroškem",666
"Sex - TOTAL","2020","Črnomelj",4171
"Sex - TOTAL","2020","Destrnik",278
"Sex - TOTAL","2020","Divača",964
"Sex - TOTAL","2020","Dobje",149
"Sex - TOTAL","2020","Dobrepolje",911
"Sex - TOTAL","2020","Dobrna",592
"Sex - TOTAL","2020","Dobrova - Polhov Gradec",1483
"Sex - TOTAL","2020","Dobrovnik/Dobronak",201
"Sex - TOTAL","2020","Dol pri Ljubljani",1663
"Sex - TOTAL","2020","Dolenjske Toplice",671
"Sex - TOTAL","2020","Domžale",11981
"Sex - TOTAL","2020","Dornava",710
"Sex - TOTAL","2020","Dravograd",2444
"Sex - TOTAL","2020","Duplek",839
"Sex - TOTAL","2020","Gorenja vas - Poljane",1721
"Sex - TOTAL","2020","Gorišnica",889
"Sex - TOTAL","2020","Gorje",425
"Sex - TOTAL","2020","Gornja Radgona",4441
"Sex - TOTAL","2020","Gornji Grad",414
"Sex - TOTAL","2020","Gornji Petrovci",310
"Sex - TOTAL","2020","Grad",201
"Sex - TOTAL","2020","Grosuplje",7347
"Sex - TOTAL","2020","Hajdina",795
"Sex - TOTAL","2020","Hoče - Slivnica",4507
"Sex - TOTAL","2020","Hodoš/Hodos",18
"Sex - TOTAL","2020","Horjul",1080
"Sex - TOTAL","2020","Hrastnik",2233
"Sex - TOTAL","2020","Hrpelje - Kozina",1450
"Sex - TOTAL","2020","Idrija",5226
"Sex - TOTAL","2020","Ig",1674
"Sex - TOTAL","2020","Ilirska Bistrica",3432
"Sex - TOTAL","2020","Ivančna Gorica",4878
"Sex - TOTAL","2020","Izola/Isola",5707
"Sex - TOTAL","2020","Jesenice",6975
"Sex - TOTAL","2020","Jezersko",114
"Sex - TOTAL","2020","Juršinci",215
"Sex - TOTAL","2020","Kamnik",8437
"Sex - TOTAL","2020","Kanal",1135
"Sex - TOTAL","2020","Kidričevo",3647
"Sex - TOTAL","2020","Kobarid",920
"Sex - TOTAL","2020","Kobilje",42
"Sex - TOTAL","2020","Kočevje",4587
"Sex - TOTAL","2020","Komen",685
"Sex - TOTAL","2020","Komenda",3678
"Sex - TOTAL","2020","Koper/Capodistria",24151
"Sex - TOTAL","2020","Kostanjevica na Krki",742
"Sex - TOTAL","2020","Kostel",133
"Sex - TOTAL","2020","Kozje",447
"Sex - TOTAL","2020","Kranj",24716
"Sex - TOTAL","2020","Kranjska Gora",1414
"Sex - TOTAL","2020","Križevci",906
"Sex - TOTAL","2020","Krško",9881
"Sex - TOTAL","2020","Kungota",819
"Sex - TOTAL","2020","Kuzma",252
"Sex - TOTAL","2020","Laško",3153
"Sex - TOTAL","2020","Lenart",3850
"Sex - TOTAL","2020","Lendava/Lendva",3233
"Sex - TOTAL","2020","Litija",3605
"Sex - TOTAL","2020","Ljubljana",235129
"Sex - TOTAL","2020","Ljubno",1128
"Sex - TOTAL","2020","Ljutomer",3992
"Sex - TOTAL","2020","Log - Dragomer",574
"Sex - TOTAL","2020","Logatec",4524
"Sex - TOTAL","2020","Loška dolina",1301
"Sex - TOTAL","2020","Loški Potok",253
"Sex - TOTAL","2020","Lovrenc na Pohorju",440
"Sex - TOTAL","2020","Luče",340
"Sex - TOTAL","2020","Lukovica",1574
"Sex - TOTAL","2020","Majšperk",445
"Sex - TOTAL","2020","Makole",196
"Sex - TOTAL","2020","Maribor",62404
"Sex - TOTAL","2020","Markovci",946
"Sex - TOTAL","2020","Medvode",4533
"Sex - TOTAL","2020","Mengeš",2819
"Sex - TOTAL","2020","Metlika",2716
"Sex - TOTAL","2020","Mežica",1548
"Sex - TOTAL","2020","Miklavž na Dravskem polju",1261
"Sex - TOTAL","2020","Miren - Kostanjevica",1083
"Sex - TOTAL","2020","Mirna",816
"Sex - TOTAL","2020","Mirna Peč",374
"Sex - TOTAL","2020","Mislinja",582
"Sex - TOTAL","2020","Mokronog - Trebelno",631
"Sex - TOTAL","2020","Moravče",897
"Sex - TOTAL","2020","Moravske Toplice",1105
"Sex - TOTAL","2020","Mozirje",1031
"Sex - TOTAL","2020","Murska Sobota",12316
"Sex - TOTAL","2020","Muta",1135
"Sex - TOTAL","2020","Naklo",2366
"Sex - TOTAL","2020","Nazarje",2365
"Sex - TOTAL","2020","Nova Gorica",14402
"Sex - TOTAL","2020","Novo mesto",24690
"Sex - TOTAL","2020","Odranci",1062
"Sex - TOTAL","2020","Oplotnica",586
"Sex - TOTAL","2020","Ormož",3203
"Sex - TOTAL","2020","Osilnica",26
"Sex - TOTAL","2020","Pesnica",1514
"Sex - TOTAL","2020","Piran/Pirano",5750
"Sex - TOTAL","2020","Pivka",1857
"Sex - TOTAL","2020","Podčetrtek",1054
"Sex - TOTAL","2020","Podlehnik",396
"Sex - TOTAL","2020","Podvelka",292
"Sex - TOTAL","2020","Poljčane",1198
"Sex - TOTAL","2020","Polzela",1181
"Sex - TOTAL","2020","Postojna",5563
"Sex - TOTAL","2020","Prebold",2442
"Sex - TOTAL","2020","Preddvor",678
"Sex - TOTAL","2020","Prevalje",1598
"Sex - TOTAL","2020","Ptuj",13679
"Sex - TOTAL","2020","Puconci",934
"Sex - TOTAL","2020","Rače - Fram",1531
"Sex - TOTAL","2020","Radeče",1019
"Sex - TOTAL","2020","Radenci",1340
"Sex - TOTAL","2020","Radlje ob Dravi",2028
"Sex - TOTAL","2020","Radovljica",7001
"Sex - TOTAL","2020","Ravne na Koroškem",4781
"Sex - TOTAL","2020","Razkrižje",150
"Sex - TOTAL","2020","Rečica ob Savinji",477
"Sex - TOTAL","2020","Renče - Vogrsko",1076
"Sex - TOTAL","2020","Ribnica",3498
"Sex - TOTAL","2020","Ribnica na Pohorju",85
"Sex - TOTAL","2020","Rogaška Slatina",5146
"Sex - TOTAL","2020","Rogašovci",313
"Sex - TOTAL","2020","Rogatec",837
"Sex - TOTAL","2020","Ruše",1920
"Sex - TOTAL","2020","Selnica ob Dravi",718
"Sex - TOTAL","2020","Semič",1177
"Sex - TOTAL","2020","Sevnica",5323
"Sex - TOTAL","2020","Sežana",5772
"Sex - TOTAL","2020","Slovenj Gradec",8321
"Sex - TOTAL","2020","Slovenska Bistrica",8401
"Sex - TOTAL","2020","Slovenske Konjice",5617
"Sex - TOTAL","2020","Sodražica",454
"Sex - TOTAL","2020","Solčava",138
"Sex - TOTAL","2020","Središče ob Dravi",401
"Sex - TOTAL","2020","Starše",480
"Sex - TOTAL","2020","Straža",863
"Sex - TOTAL","2020","Sveta Ana",207
"Sex - TOTAL","2020","Sveta Trojica v Slov. goricah",255
"Sex - TOTAL","2020","Sveti Andraž v Slov. goricah",119
"Sex - TOTAL","2020","Sveti Jurij ob Ščavnici",360
"Sex - TOTAL","2020","Sveti Jurij v Slov. goricah",193
"Sex - TOTAL","2020","Sveti Tomaž",96
"Sex - TOTAL","2020","Šalovci",130
"Sex - TOTAL","2020","Šempeter - Vrtojba",5506
"Sex - TOTAL","2020","Šenčur",2782
"Sex - TOTAL","2020","Šentilj",1700
"Sex - TOTAL","2020","Šentjernej",2025
"Sex - TOTAL","2020","Šentjur",4999
"Sex - TOTAL","2020","Šentrupert",921
"Sex - TOTAL","2020","Škocjan",482
"Sex - TOTAL","2020","Škofja Loka",9938
"Sex - TOTAL","2020","Škofljica",2597
"Sex - TOTAL","2020","Šmarje pri Jelšah",2459
"Sex - TOTAL","2020","Šmarješke Toplice",884
"Sex - TOTAL","2020","Šmartno ob Paki",464
"Sex - TOTAL","2020","Šmartno pri Litiji",1231
"Sex - TOTAL","2020","Šoštanj",2392
"Sex - TOTAL","2020","Štore",1865
"Sex - TOTAL","2020","Tabor",163
"Sex - TOTAL","2020","Tišina",382
"Sex - TOTAL","2020","Tolmin",3670
"Sex - TOTAL","2020","Trbovlje",3863
"Sex - TOTAL","2020","Trebnje",4892
"Sex - TOTAL","2020","Trnovska vas",145
"Sex - TOTAL","2020","Trzin",5637
"Sex - TOTAL","2020","Tržič",3295
"Sex - TOTAL","2020","Turnišče",756
"Sex - TOTAL","2020","Velenje",15722
"Sex - TOTAL","2020","Velika Polana",167
"Sex - TOTAL","2020","Velike Lašče",727
"Sex - TOTAL","2020","Veržej",282
"Sex - TOTAL","2020","Videm",589
"Sex - TOTAL","2020","Vipava",1683
"Sex - TOTAL","2020","Vitanje",389
"Sex - TOTAL","2020","Vodice",1074
"Sex - TOTAL","2020","Vojnik",2096
"Sex - TOTAL","2020","Vransko",609
"Sex - TOTAL","2020","Vrhnika",4575
"Sex - TOTAL","2020","Vuzenica",394
"Sex - TOTAL","2020","Zagorje ob Savi",4188
"Sex - TOTAL","2020","Zavrč",179
"Sex - TOTAL","2020","Zreče",4147
"Sex - TOTAL","2020","Žalec",8948
"Sex - TOTAL","2020","Železniki",2800
"Sex - TOTAL","2020","Žetale",114
"Sex - TOTAL","2020","Žiri",2335
"Sex - TOTAL","2020","Žirovnica",693
"Sex - TOTAL","2020","Žužemberk",931
"Sex - TOTAL","2021","Ajdovščina",7458
"Sex - TOTAL","2021","Ankaran/Ancarano",1006
"Sex - TOTAL","2021","Apače",422
"Sex - TOTAL","2021","Beltinci",1316
"Sex - TOTAL","2021","Benedikt",387
"Sex - TOTAL","2021","Bistrica ob Sotli",224
"Sex - TOTAL","2021","Bled",2849
"Sex - TOTAL","2021","Bloke",246
"Sex - TOTAL","2021","Bohinj",1544
"Sex - TOTAL","2021","Borovnica",876
"Sex - TOTAL","2021","Bovec",1258
"Sex - TOTAL","2021","Braslovče",1013
"Sex - TOTAL","2021","Brda",875
"Sex - TOTAL","2021","Brezovica",3674
"Sex - TOTAL","2021","Brežice",7105
"Sex - TOTAL","2021","Cankova",245
"Sex - TOTAL","2021","Celje",31141
"Sex - TOTAL","2021","Cerklje na Gorenjskem",4033
"Sex - TOTAL","2021","Cerknica",3748
"Sex - TOTAL","2021","Cerkno",1510
"Sex - TOTAL","2021","Cerkvenjak",350
"Sex - TOTAL","2021","Cirkulane",399
"Sex - TOTAL","2021","Črenšovci",595
"Sex - TOTAL","2021","Črna na Koroškem",647
"Sex - TOTAL","2021","Črnomelj",4381
"Sex - TOTAL","2021","Destrnik",292
"Sex - TOTAL","2021","Divača",922
"Sex - TOTAL","2021","Dobje",191
"Sex - TOTAL","2021","Dobrepolje",921
"Sex - TOTAL","2021","Dobrna",649
"Sex - TOTAL","2021","Dobrova - Polhov Gradec",1563
"Sex - TOTAL","2021","Dobrovnik/Dobronak",220
"Sex - TOTAL","2021","Dol pri Ljubljani",1730
"Sex - TOTAL","2021","Dolenjske Toplice",667
"Sex - TOTAL","2021","Domžale",12198
"Sex - TOTAL","2021","Dornava",728
"Sex - TOTAL","2021","Dravograd",2565
"Sex - TOTAL","2021","Duplek",886
"Sex - TOTAL","2021","Gorenja vas - Poljane",1742
"Sex - TOTAL","2021","Gorišnica",886
"Sex - TOTAL","2021","Gorje",450
"Sex - TOTAL","2021","Gornja Radgona",4448
"Sex - TOTAL","2021","Gornji Grad",425
"Sex - TOTAL","2021","Gornji Petrovci",329
"Sex - TOTAL","2021","Grad",184
"Sex - TOTAL","2021","Grosuplje",7764
"Sex - TOTAL","2021","Hajdina",996
"Sex - TOTAL","2021","Hoče - Slivnica",4893
"Sex - TOTAL","2021","Hodoš/Hodos",19
"Sex - TOTAL","2021","Horjul",1129
"Sex - TOTAL","2021","Hrastnik",2318
"Sex - TOTAL","2021","Hrpelje - Kozina",1572
"Sex - TOTAL","2021","Idrija",5274
"Sex - TOTAL","2021","Ig",1714
"Sex - TOTAL","2021","Ilirska Bistrica",3478
"Sex - TOTAL","2021","Ivančna Gorica",5321
"Sex - TOTAL","2021","Izola/Isola",5878
"Sex - TOTAL","2021","Jesenice",7161
"Sex - TOTAL","2021","Jezersko",122
"Sex - TOTAL","2021","Juršinci",218
"Sex - TOTAL","2021","Kamnik",8830
"Sex - TOTAL","2021","Kanal",1183
"Sex - TOTAL","2021","Kidričevo",3616
"Sex - TOTAL","2021","Kobarid",944
"Sex - TOTAL","2021","Kobilje",42
"Sex - TOTAL","2021","Kočevje",4779
"Sex - TOTAL","2021","Komen",683
"Sex - TOTAL","2021","Komenda",4084
"Sex - TOTAL","2021","Koper/Capodistria",24552
"Sex - TOTAL","2021","Kostanjevica na Krki",833
"Sex - TOTAL","2021","Kostel",130
"Sex - TOTAL","2021","Kozje",485
"Sex - TOTAL","2021","Kranj",25708
"Sex - TOTAL","2021","Kranjska Gora",1433
"Sex - TOTAL","2021","Križevci",941
"Sex - TOTAL","2021","Krško",10198
"Sex - TOTAL","2021","Kungota",886
"Sex - TOTAL","2021","Kuzma",274
"Sex - TOTAL","2021","Laško",3263
"Sex - TOTAL","2021","Lenart",3972
"Sex - TOTAL","2021","Lendava/Lendva",3303
"Sex - TOTAL","2021","Litija",3786
"Sex - TOTAL","2021","Ljubljana",240969
"Sex - TOTAL","2021","Ljubno",1187
"Sex - TOTAL","2021","Ljutomer",4161
"Sex - TOTAL","2021","Log - Dragomer",590
"Sex - TOTAL","2021","Logatec",4822
"Sex - TOTAL","2021","Loška dolina",1349
"Sex - TOTAL","2021","Loški Potok",253
"Sex - TOTAL","2021","Lovrenc na Pohorju",458
"Sex - TOTAL","2021","Luče",352
"Sex - TOTAL","2021","Lukovica",1587
"Sex - TOTAL","2021","Majšperk",462
"Sex - TOTAL","2021","Makole",228
"Sex - TOTAL","2021","Maribor",63805
"Sex - TOTAL","2021","Markovci",1048
"Sex - TOTAL","2021","Medvode",4654
"Sex - TOTAL","2021","Mengeš",3051
"Sex - TOTAL","2021","Metlika",2757
"Sex - TOTAL","2021","Mežica",1587
"Sex - TOTAL","2021","Miklavž na Dravskem polju",1324
"Sex - TOTAL","2021","Miren - Kostanjevica",1124
"Sex - TOTAL","2021","Mirna",840
"Sex - TOTAL","2021","Mirna Peč",431
"Sex - TOTAL","2021","Mislinja",662
"Sex - TOTAL","2021","Mokronog - Trebelno",666
"Sex - TOTAL","2021","Moravče",970
"Sex - TOTAL","2021","Moravske Toplice",1174
"Sex - TOTAL","2021","Mozirje",1083
"Sex - TOTAL","2021","Murska Sobota",12730
"Sex - TOTAL","2021","Muta",1223
"Sex - TOTAL","2021","Naklo",2433
"Sex - TOTAL","2021","Nazarje",2698
"Sex - TOTAL","2021","Nova Gorica",14699
"Sex - TOTAL","2021","Novo mesto",24630
"Sex - TOTAL","2021","Odranci",1126
"Sex - TOTAL","2021","Oplotnica",605
"Sex - TOTAL","2021","Ormož",2774
"Sex - TOTAL","2021","Osilnica",30
"Sex - TOTAL","2021","Pesnica",1550
"Sex - TOTAL","2021","Piran/Pirano",5881
"Sex - TOTAL","2021","Pivka",1878
"Sex - TOTAL","2021","Podčetrtek",1082
"Sex - TOTAL","2021","Podlehnik",405
"Sex - TOTAL","2021","Podvelka",302
"Sex - TOTAL","2021","Poljčane",1291
"Sex - TOTAL","2021","Polzela",1200
"Sex - TOTAL","2021","Postojna",5755
"Sex - TOTAL","2021","Prebold",2363
"Sex - TOTAL","2021","Preddvor",643
"Sex - TOTAL","2021","Prevalje",1655
"Sex - TOTAL","2021","Ptuj",14128
"Sex - TOTAL","2021","Puconci",966
"Sex - TOTAL","2021","Rače - Fram",1601
"Sex - TOTAL","2021","Radeče",1027
"Sex - TOTAL","2021","Radenci",1352
"Sex - TOTAL","2021","Radlje ob Dravi",2078
"Sex - TOTAL","2021","Radovljica",6714
"Sex - TOTAL","2021","Ravne na Koroškem",4858
"Sex - TOTAL","2021","Razkrižje",151
"Sex - TOTAL","2021","Rečica ob Savinji",468
"Sex - TOTAL","2021","Renče - Vogrsko",1202
"Sex - TOTAL","2021","Ribnica",3658
"Sex - TOTAL","2021","Ribnica na Pohorju",89
"Sex - TOTAL","2021","Rogaška Slatina",5580
"Sex - TOTAL","2021","Rogašovci",311
"Sex - TOTAL","2021","Rogatec",846
"Sex - TOTAL","2021","Ruše",1998
"Sex - TOTAL","2021","Selnica ob Dravi",855
"Sex - TOTAL","2021","Semič",1244
"Sex - TOTAL","2021","Sevnica",5348
"Sex - TOTAL","2021","Sežana",5960
"Sex - TOTAL","2021","Slovenj Gradec",8137
"Sex - TOTAL","2021","Slovenska Bistrica",8828
"Sex - TOTAL","2021","Slovenske Konjice",5842
"Sex - TOTAL","2021","Sodražica",476
"Sex - TOTAL","2021","Solčava",134
"Sex - TOTAL","2021","Središče ob Dravi",373
"Sex - TOTAL","2021","Starše",492
"Sex - TOTAL","2021","Straža",890
"Sex - TOTAL","2021","Sveta Ana",226
"Sex - TOTAL","2021","Sveta Trojica v Slov. goricah",286
"Sex - TOTAL","2021","Sveti Andraž v Slov. goricah",133
"Sex - TOTAL","2021","Sveti Jurij ob Ščavnici",385
"Sex - TOTAL","2021","Sveti Jurij v Slov. goricah",196
"Sex - TOTAL","2021","Sveti Tomaž",104
"Sex - TOTAL","2021","Šalovci",193
"Sex - TOTAL","2021","Šempeter - Vrtojba",5689
"Sex - TOTAL","2021","Šenčur",2920
"Sex - TOTAL","2021","Šentilj",1658
"Sex - TOTAL","2021","Šentjernej",2140
"Sex - TOTAL","2021","Šentjur",5147
"Sex - TOTAL","2021","Šentrupert",997
"Sex - TOTAL","2021","Škocjan",490
"Sex - TOTAL","2021","Škofja Loka",10189
"Sex - TOTAL","2021","Škofljica",2664
"Sex - TOTAL","2021","Šmarje pri Jelšah",2543
"Sex - TOTAL","2021","Šmarješke Toplice",920
"Sex - TOTAL","2021","Šmartno ob Paki",501
"Sex - TOTAL","2021","Šmartno pri Litiji",1335
"Sex - TOTAL","2021","Šoštanj",2455
"Sex - TOTAL","2021","Štore",1815
"Sex - TOTAL","2021","Tabor",184
"Sex - TOTAL","2021","Tišina",383
"Sex - TOTAL","2021","Tolmin",3785
"Sex - TOTAL","2021","Trbovlje",4023
"Sex - TOTAL","2021","Trebnje",4878
"Sex - TOTAL","2021","Trnovska vas",128
"Sex - TOTAL","2021","Trzin",5799
"Sex - TOTAL","2021","Tržič",3605
"Sex - TOTAL","2021","Turnišče",840
"Sex - TOTAL","2021","Velenje",16306
"Sex - TOTAL","2021","Velika Polana",223
"Sex - TOTAL","2021","Velike Lašče",765
"Sex - TOTAL","2021","Veržej",299
"Sex - TOTAL","2021","Videm",697
"Sex - TOTAL","2021","Vipava",1752
"Sex - TOTAL","2021","Vitanje",367
"Sex - TOTAL","2021","Vodice",1077
"Sex - TOTAL","2021","Vojnik",2215
"Sex - TOTAL","2021","Vransko",633
"Sex - TOTAL","2021","Vrhnika",4693
"Sex - TOTAL","2021","Vuzenica",420
"Sex - TOTAL","2021","Zagorje ob Savi",4279
"Sex - TOTAL","2021","Zavrč",213
"Sex - TOTAL","2021","Zreče",4184
"Sex - TOTAL","2021","Žalec",9026
"Sex - TOTAL","2021","Železniki",2849
"Sex - TOTAL","2021","Žetale",113
"Sex - TOTAL","2021","Žiri",2354
"Sex - TOTAL","2021","Žirovnica",721
"Sex - TOTAL","2021","Žužemberk",1009
"Sex - TOTAL","2022","Ajdovščina",7913
"Sex - TOTAL","2022","Ankaran/Ancarano",1035
"Sex - TOTAL","2022","Apače",440
"Sex - TOTAL","2022","Beltinci",1326
"Sex - TOTAL","2022","Benedikt",415
"Sex - TOTAL","2022","Bistrica ob Sotli",230
"Sex - TOTAL","2022","Bled",3031
"Sex - TOTAL","2022","Bloke",242
"Sex - TOTAL","2022","Bohinj",1527
"Sex - TOTAL","2022","Borovnica",892
"Sex - TOTAL","2022","Bovec",1273
"Sex - TOTAL","2022","Braslovče",1068
"Sex - TOTAL","2022","Brda",886
"Sex - TOTAL","2022","Brezovica",3882
"Sex - TOTAL","2022","Brežice",7493
"Sex - TOTAL","2022","Cankova",247
"Sex - TOTAL","2022","Celje",31699
"Sex - TOTAL","2022","Cerklje na Gorenjskem",4199
"Sex - TOTAL","2022","Cerknica",3863
"Sex - TOTAL","2022","Cerkno",1366
"Sex - TOTAL","2022","Cerkvenjak",364
"Sex - TOTAL","2022","Cirkulane",396
"Sex - TOTAL","2022","Črenšovci",561
"Sex - TOTAL","2022","Črna na Koroškem",645
"Sex - TOTAL","2022","Črnomelj",4511
"Sex - TOTAL","2022","Destrnik",254
"Sex - TOTAL","2022","Divača",968
"Sex - TOTAL","2022","Dobje",194
"Sex - TOTAL","2022","Dobrepolje",935
"Sex - TOTAL","2022","Dobrna",657
"Sex - TOTAL","2022","Dobrova - Polhov Gradec",1465
"Sex - TOTAL","2022","Dobrovnik/Dobronak",217
"Sex - TOTAL","2022","Dol pri Ljubljani",1918
"Sex - TOTAL","2022","Dolenjske Toplice",713
"Sex - TOTAL","2022","Domžale",12403
"Sex - TOTAL","2022","Dornava",771
"Sex - TOTAL","2022","Dravograd",2615
"Sex - TOTAL","2022","Duplek",916
"Sex - TOTAL","2022","Gorenja vas - Poljane",1782
"Sex - TOTAL","2022","Gorišnica",943
"Sex - TOTAL","2022","Gorje",459
"Sex - TOTAL","2022","Gornja Radgona",4508
"Sex - TOTAL","2022","Gornji Grad",438
"Sex - TOTAL","2022","Gornji Petrovci",320
"Sex - TOTAL","2022","Grad",200
"Sex - TOTAL","2022","Grosuplje",7963
"Sex - TOTAL","2022","Hajdina",1036
"Sex - TOTAL","2022","Hoče - Slivnica",5057
"Sex - TOTAL","2022","Hodoš/Hodos",22
"Sex - TOTAL","2022","Horjul",1140
"Sex - TOTAL","2022","Hrastnik",2428
"Sex - TOTAL","2022","Hrpelje - Kozina",1655
"Sex - TOTAL","2022","Idrija",5227
"Sex - TOTAL","2022","Ig",1868
"Sex - TOTAL","2022","Ilirska Bistrica",3441
"Sex - TOTAL","2022","Ivančna Gorica",5678
"Sex - TOTAL","2022","Izola/Isola",6007
"Sex - TOTAL","2022","Jesenice",7116
"Sex - TOTAL","2022","Jezersko",122
"Sex - TOTAL","2022","Juršinci",223
"Sex - TOTAL","2022","Kamnik",9087
"Sex - TOTAL","2022","Kanal",1249
"Sex - TOTAL","2022","Kidričevo",3642
"Sex - TOTAL","2022","Kobarid",964
"Sex - TOTAL","2022","Kobilje",47
"Sex - TOTAL","2022","Kočevje",4910
"Sex - TOTAL","2022","Komen",672
"Sex - TOTAL","2022","Komenda",4212
"Sex - TOTAL","2022","Koper/Capodistria",24627
"Sex - TOTAL","2022","Kostanjevica na Krki",779
"Sex - TOTAL","2022","Kostel",129
"Sex - TOTAL","2022","Kozje",489
"Sex - TOTAL","2022","Kranj",26363
"Sex - TOTAL","2022","Kranjska Gora",1488
"Sex - TOTAL","2022","Križevci",959
"Sex - TOTAL","2022","Krško",10500
"Sex - TOTAL","2022","Kungota",914
"Sex - TOTAL","2022","Kuzma",277
"Sex - TOTAL","2022","Laško",3453
"Sex - TOTAL","2022","Lenart",4263
"Sex - TOTAL","2022","Lendava/Lendva",3417
"Sex - TOTAL","2022","Litija",3793
"Sex - TOTAL","2022","Ljubljana",245794
"Sex - TOTAL","2022","Ljubno",1146
"Sex - TOTAL","2022","Ljutomer",4284
"Sex - TOTAL","2022","Log - Dragomer",560
"Sex - TOTAL","2022","Logatec",5019
"Sex - TOTAL","2022","Loška dolina",1351
"Sex - TOTAL","2022","Loški Potok",262
"Sex - TOTAL","2022","Lovrenc na Pohorju",495
"Sex - TOTAL","2022","Luče",362
"Sex - TOTAL","2022","Lukovica",1659
"Sex - TOTAL","2022","Majšperk",451
"Sex - TOTAL","2022","Makole",248
"Sex - TOTAL","2022","Maribor",65113
"Sex - TOTAL","2022","Markovci",965
"Sex - TOTAL","2022","Medvode",4736
"Sex - TOTAL","2022","Mengeš",3097
"Sex - TOTAL","2022","Metlika",2744
"Sex - TOTAL","2022","Mežica",1588
"Sex - TOTAL","2022","Miklavž na Dravskem polju",1341
"Sex - TOTAL","2022","Miren - Kostanjevica",1147
"Sex - TOTAL","2022","Mirna",856
"Sex - TOTAL","2022","Mirna Peč",506
"Sex - TOTAL","2022","Mislinja",683
"Sex - TOTAL","2022","Mokronog - Trebelno",673
"Sex - TOTAL","2022","Moravče",903
"Sex - TOTAL","2022","Moravske Toplice",1188
"Sex - TOTAL","2022","Mozirje",1090
"Sex - TOTAL","2022","Murska Sobota",12812
"Sex - TOTAL","2022","Muta",1259
"Sex - TOTAL","2022","Naklo",2463
"Sex - TOTAL","2022","Nazarje",2668
"Sex - TOTAL","2022","Nova Gorica",14710
"Sex - TOTAL","2022","Novo mesto",24430
"Sex - TOTAL","2022","Odranci",1115
"Sex - TOTAL","2022","Oplotnica",628
"Sex - TOTAL","2022","Ormož",2800
"Sex - TOTAL","2022","Osilnica",28
"Sex - TOTAL","2022","Pesnica",1725
"Sex - TOTAL","2022","Piran/Pirano",6119
"Sex - TOTAL","2022","Pivka",1809
"Sex - TOTAL","2022","Podčetrtek",1095
"Sex - TOTAL","2022","Podlehnik",409
"Sex - TOTAL","2022","Podvelka",299
"Sex - TOTAL","2022","Poljčane",1292
"Sex - TOTAL","2022","Polzela",1241
"Sex - TOTAL","2022","Postojna",6090
"Sex - TOTAL","2022","Prebold",2519
"Sex - TOTAL","2022","Preddvor",698
"Sex - TOTAL","2022","Prevalje",1653
"Sex - TOTAL","2022","Ptuj",14801
"Sex - TOTAL","2022","Puconci",972
"Sex - TOTAL","2022","Rače - Fram",1657
"Sex - TOTAL","2022","Radeče",1027
"Sex - TOTAL","2022","Radenci",1322
"Sex - TOTAL","2022","Radlje ob Dravi",2149
"Sex - TOTAL","2022","Radovljica",7016
"Sex - TOTAL","2022","Ravne na Koroškem",4884
"Sex - TOTAL","2022","Razkrižje",152
"Sex - TOTAL","2022","Rečica ob Savinji",476
"Sex - TOTAL","2022","Renče - Vogrsko",1213
